NCT Id,Brief Title,Official Title,Overall Status,Conditions,Interventions,Study First Post Date,Last Update Post Date,Phases,Study Type,sex,minimumAge,maximumAge
NCT02933866,Phase III Clinical Study in Patients With Mild to Severe Scalp Psoriasis,"A Randomized, Double-Blind, Vehicle-Controlled, Parallel-Design, Multiple-Site, Phase III Clinical Study to Evaluate the Efficacy and Safety of DSXS Topical Product in Patients With Mild to Severe Scalp Psoriasis",COMPLETED,Scalp Psoriasis,Drug: DSXS topical|Drug: Vehicle topical,2016-10-14,2018-12-06,PHASE3,INTERVENTIONAL,ALL,18 Years,65 Years
NCT03058666,Comparison of Aerosol Delivery of Infasurf to Usual Care in Spontaneously Breathing RDS Patients,Comparison of Aerosol Delivery of Infasurf to Usual Care in Spontaneously Breathing RDS Patients,COMPLETED,Respiratory Distress Syndrome,Drug: Aerosolized Calfactant|,2017-02-23,2024-05-29,PHASE3,INTERVENTIONAL,ALL,1 Hour,24 Hours
NCT03997266,NICU Antibiotics and Outcomes Trial,NICU Antibiotics and Outcomes Trial,RECRUITING,Microbial Colonization|Extreme Prematurity|Early-Onset Neonatal Sepsis|Late-Onset Neonatal Sepsis|Necrotizing Enterocolitis of Newborn|Death; Neonatal,Drug: Ampicillin|Drug: Normal saline,2019-06-25,2024-01-17,PHASE4,INTERVENTIONAL,ALL,,4 Hours
NCT05040360,Testing the Use of Chemotherapy After Surgery for High-Risk Pancreatic Neuroendocrine Tumors,Randomized Phase II Trial of Postoperative Adjuvant Capecitabine and Temozolomide Versus Observation in High-Risk Pancreatic Neuroendocrine Tumors,RECRUITING,Metastatic Malignant Neoplasm in the Liver|Pancreatic Neuroendocrine Tumor|Stage I Pancreatic Neuroendocrine Tumor AJCC v8|Stage II Pancreatic Neuroendocrine Tumor AJCC v8|Stage III Pancreatic Neuroendocrine Tumor AJCC v8,Drug: Capecitabine|,2021-09-10,2024-08-16,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT03936660,A 12 Month Site Randomized Trial in Adults With Type 2 Diabetes Mellitus and History of Cardiovascular Disease,COOrdinating CaRDIology CliNics RAndomized Trial of Interventions to Improve OutcomEs (COORDINATE) - Diabetes,ACTIVE_NOT_RECRUITING,"Diabetes Mellitus, Type 2|Cardiovascular Diseases",|Other: Intense Education Intervention,2019-05-03,2023-01-20,NA,INTERVENTIONAL,ALL,18 Years,
NCT04527991,Study of Sacituzumab Govitecan Versus Physician's Choice of Treatment in Participants With Urothelial Cancer That Cannot Be Removed or Has Spread,A Randomized Open-Label Phase III Study of Sacituzumab Govitecan Versus Treatment of Physician's Choice in Subjects With Metastatic or Locally Advanced Unresectable Urothelial Cancer,ACTIVE_NOT_RECRUITING,Locally Advanced or Metastatic Unresectable Urothelial Cancer,Drug: Sacituzumab Govitecan-hziy|Drug: Paclitaxel,2020-08-27,2024-09-20,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT06178991,"A Study to Evaluate the Safety, Tolerability, and Immunogenicity of a Combined Modified RNA Vaccine Candidate Against COVID-19 and Influenza.","A PHASE 3, RANDOMIZED, OBSERVER-BLINDED STUDY TO EVALUATE THE SAFETY, TOLERABILITY, AND IMMUNOGENICITY OF A COMBINED MODIFIED RNA VACCINE CANDIDATE AGAINST COVID-19 AND INFLUENZA IN HEALTHY INDIVIDUALS",ACTIVE_NOT_RECRUITING,Influenza|COVID-19,Biological: Influenza and COVID-19 Combination A|Biological: Licensed influenza vaccine|Biological: Influenza and COVID-19 Combination B|Biological: Licensed influenza vaccine|Biological: Influenza and COVID-19 Combination B|Biological: COVID-19 Vaccine|Biological: Licensed influenza vaccine|Biological: Investigational influenza vaccine,2023-12-21,2024-08-23,PHASE3,INTERVENTIONAL,ALL,18 Years,64 Years
NCT04214262,Testing the Addition of the Drug Atezolizumab to the Usual Radiation Treatment for Patients With Early Non-small Cell Lung Cancer,"A Randomized Phase III Trial of Induction/Consolidation Atezolizumab (NSC #783608) + SBRT Versus SBRT Alone in High Risk, Early Stage NSCLC",ACTIVE_NOT_RECRUITING,Lung Non-Small Cell Carcinoma|Stage I Lung Cancer AJCC v8|Stage II Lung Cancer AJCC v8,Drug: Atezolizumab|Procedure: Biospecimen Collection,2020-01-02,2024-09-19,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT05235165,Thoracotomy Versus Thoracoscopic Management of Pulmonary Metastases in Patients With Osteosarcoma,A Phase 3 Randomized Controlled Trial Comparing Open vs Thoracoscopic Management of Pulmonary Metastases in Patients With Osteosarcoma,RECRUITING,Metastatic Malignant Neoplasm in the Lung|Metastatic Osteosarcoma|Osteosarcoma,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2022-02-11,2024-09-23,PHASE3,INTERVENTIONAL,ALL,,50 Years
NCT03701282,Assessing the Ability of Combination Treatment With Venetoclax to Permit Time Limited Therapy in Chronic Lymphocytic Leukemia,A Randomized Phase III Study of the Addition of Venetoclax to Ibrutinib and Obinutuzumab Versus Ibrutinib and Obinutuzumab in Untreated Younger Patients With Chronic Lymphocytic Leukemia (CLL),ACTIVE_NOT_RECRUITING,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2018-10-10,2024-09-26,PHASE3,INTERVENTIONAL,ALL,18 Years,69 Years
NCT02193282,Erlotinib Hydrochloride in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer That Has Been Completely Removed by Surgery (An ALCHEMIST Treatment Trial),Randomized Study of Erlotinib vs Observation in Patients With Completely Resected Epidermal Growth Factor Receptor (EGFR) Mutant Non-Small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,Lung Non-Squamous Non-Small Cell Carcinoma|Stage IB Lung Non-Small Cell Carcinoma AJCC v7|Stage II Lung Non-Small Cell Cancer AJCC v7|Stage IIA Lung Non-Small Cell Carcinoma AJCC v7|Stage IIB Lung Non-Small Cell Carcinoma AJCC v7|Stage IIIA Lung Non-Small Cell Cancer AJCC v7,Drug: Erlotinib Hydrochloride|Other: Laboratory Biomarker Analysis|Drug: Erlotinib Hydrochloride|Other: Clinical Observation,2014-07-17,2024-09-26,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT03954574,Pulmonary Hemodynamics During Exercise - Research Network,Pulmonary Hemodynamics During Exercise - Research Network,RECRUITING,Pulmonary Circulation Diseases,Diagnostic Test: assessment of pulmonary hemodynamics during exercise by right heart catheterization|Diagnostic Test: assessment of pulmonary hemodynamics during exercise by right heart catheterization,2019-05-17,2024-01-03,,OBSERVATIONAL,ALL,18 Years,
NCT05647265,Testing the Addition of Immunotherapy Before Surgery for Patients With Sarcomatoid Mesothelioma,Official Title Neoadjuvant Immunotherapy in Sarcomatoid Mesothelioma,RECRUITING,Pleural Biphasic Mesothelioma|Pleural Sarcomatoid Mesothelioma,Biological: Nivolumab,2022-12-12,2024-05-23,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT00824720,Safety and Efficacy of a Glaucoma Drug Delivery System,,COMPLETED,"Glaucoma, Open-Angle|Ocular Hypertension",Drug: High Dose Device|Drug: Low Dose Device|Device: Placebo Device,2009-01-19,2015-03-06,PHASE2,INTERVENTIONAL,ALL,21 Years,
NCT03996265,Bupropion to Reduce Cancer Related Fatigue in Cancer Survivors,Randomized Placebo-Controlled Trial of Bupropion for Cancer Related Fatigue,RECRUITING,Be Diagnosed With Cancer and Have Completed Systemic Therapy,Drug: Bupropion Hydrochloride Controlled-release|Other: Placebo Administration,2019-06-24,2024-04-23,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT02595073,Clinical Study to Evaluate the Efficacy and Safety of Desoximetasone (DSXS) With Atopic Dermatitis,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Design, Multiple-Site Clinical Study to Evaluate the Efficacy and Safety of DSXS in Patients With Moderate to Severe Atopic Dermatitis.",COMPLETED,Atopic Dermatitis,Drug: DSXS|Drug: Placebo,2015-11-03,2018-12-07,PHASE3,INTERVENTIONAL,ALL,6 Months,
NCT05705531,A Study About How Blood Cell Growth Patterns Relate to Heart Health After Treatment for Hodgkin Lymphoma,Assessment of Clonal Hematopoiesis and Its Relationship to Cardiovascular Disease in Hodgkin Lymphoma Survivors,RECRUITING,Cardiovascular Disorder|Clonal Hematopoiesis|Hodgkin Lymphoma,Procedure: Biospecimen Collection,2023-01-30,2024-09-23,,OBSERVATIONAL,ALL,7 Years,40 Years
NCT05642182,Study of SFA002 in Patients With Mild to Moderate Psoriasis Plaques,A Study of Improvement in Psoriasis Symptoms Associated With Combinations of Biologically Active Natural Substances (SFA-002) With Known Safety Profile,RECRUITING,Psoriasis,"Drug: Drug (SFA002) Vitamin D, Magnesium|Drug: Drug (SFA002) Vitamin D, Magnesium and Propionate",2022-12-08,2024-05-21,PHASE1,INTERVENTIONAL,ALL,18 Years,
NCT04725682,Bioequivalence Study of Tacrolimus in Healthy Volunteers,"A Single Dose, Open-Label, Randomized, Four-Way Crossover, Fully Replicate, Bioequivalence Study of Generic Tacrolimus and Prograf® Capsules in Healthy Volunteers Under Fasting Conditions",COMPLETED,Healthy Volunteers,Drug: Tacrolimus|Drug: Tacrolimus,2021-01-27,2023-09-21,PHASE1,INTERVENTIONAL,ALL,18 Years,59 Years
NCT03866382,Testing the Effectiveness of Two Immunotherapy Drugs (Nivolumab and Ipilimumab) With One Anti-cancer Targeted Drug (Cabozantinib) for Rare Genitourinary Tumors,"A Phase II Study of Ipilimumab, Cabozantinib, and Nivolumab in Rare Genitourinary Cancers (ICONIC)",RECRUITING,Bladder Adenocarcinoma|Bladder Clear Cell Adenocarcinoma|Bladder Mixed Adenocarcinoma|Bladder Neuroendocrine Carcinoma|Bladder Small Cell Neuroendocrine Carcinoma|Bladder Squamous Cell Carcinoma|Chromophobe Renal Cell Carcinoma|Collecting Duct Carcinoma|Invasive Bladder Giant Cell Urothelial Carcinoma|Invasive Bladder Lymphoepithelioma-Like Carcinoma|Invasive Bladder Nested Urothelial Carcinoma|Invasive Bladder Plasmacytoid Urothelial Carcinoma|Invasive Bladder Sarcomatoid Urothelial Carcinoma|Invasive Bladder Urothelial Carcinoma|Kidney Medullary Carcinoma|Large Cell Neuroendocrine Carcinoma|Malignant Testicular Leydig Cell Tumor|Malignant Testicular Sertoli Cell Tumor|Metastatic Bladder Carcinoma|Metastatic Bladder Clear Cell (Glycogen-Rich) Urothelial Carcinoma|Metastatic Bladder Giant Cell Urothelial Carcinoma|Metastatic Bladder Large Cell Neuroendocrine Carcinoma|Metastatic Bladder Lipid-Rich Urothelial Carcinoma|Metastatic Bladder Micropapillary Urothelial Carcinoma|Metastatic Bladder Plasmacytoid Urothelial Carcinoma|Metastatic Bladder Sarcomatoid Urothelial Carcinoma|Metastatic Bladder Small Cell Neuroendocrine Carcinoma|Metastatic Bladder Squamous Cell Carcinoma|Metastatic Chromophobe Renal Cell Carcinoma|Metastatic Kidney Medullary Carcinoma|Metastatic Malignant Genitourinary System Neoplasm|Metastatic Papillary Renal Cell Carcinoma|Metastatic Penile Carcinoma|Metastatic Prostate Small Cell Neuroendocrine Carcinoma|Metastatic Sarcomatoid Renal Cell Carcinoma|Metastatic Urethral Carcinoma|Papillary Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Stage IV Bladder Cancer AJCC v8|Stage IV Penile Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8|Stage IV Urethral Cancer AJCC v8|Stage IVB Prostate Cancer AJCC v8|Urachal Adenocarcinoma|Urethral Clear Cell Adenocarcinoma,Procedure: Bone Scan,2019-03-07,2024-09-26,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT00812565,Study of Octagam (Intravenous Immunoglobulin [IVIG]) 10% on the Treatment of Mild to Moderate Alzheimer's Disease,"Prospective 24-week, Double-blind, Randomised, Placebo-controlled, Multicenter Study Evaluating Safety and Change in Efficacy-related Surrogate Parameters in Patients With Dementia of the Alzheimer's Type Under Treatment With Increasing Dosages of Intravenous Immunoglobulin (Octagam 10%)",COMPLETED,Alzheimer's Disease,Drug: Placebo|Biological: octagam 10%|Biological: octagam 10%|Biological: octagam 10%|Drug: Placebo|Biological: octagam 10%|Biological: octagam 10%|Biological: octagam 10%,2008-12-22,2014-05-05,PHASE2,INTERVENTIONAL,ALL,50 Years,85 Years
NCT01298648,Special Investigation in Patients With Crohn's Disease (All Patients Investigation),Special Investigation (All Cases Investigation in Patients With Crohn's Disease),COMPLETED,Crohn's Disease,,2011-02-18,2018-07-02,,OBSERVATIONAL,ALL,16 Years,99 Years
NCT01575548,Pazopanib Hydrochloride in Treating Patients With Metastatic Kidney Cancer Who Have No Evidence of Disease After Surgery,"Randomized, Double-Blind Phase III Study of Pazopanib vs. Placebo in Patients With Metastatic Renal Cell Carcinoma Who Have No Evidence of Disease Following Metastatectomy",ACTIVE_NOT_RECRUITING,Clear Cell Renal Cell Carcinoma|Stage IV Renal Cell Cancer AJCC v7,Procedure: Computed Tomography|Procedure: Computed Tomography,2012-04-11,2024-08-16,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT04071457,"S1803, Lenalidomide +/- Daratumumab/rHuPh20 as Post-ASCT Maintenance for MM w/MRD to Direct Therapy Duration","S1803, Phase III Study of Daratumumab/rHuPH20 (NSC-810307) + Lenalidomide or Lenalidomide as Post-Autologous Stem Cell Transplant Maintenance Therapy in Patients With Multiple Myeloma (MM) Using Minimal Residual Disease to Direct Therapy Duration (DRAMMATIC Study)",RECRUITING,Multiple Myeloma,|Drug: Lenalidomide|Drug: Lenalidomide|Drug: Lenalidomide||Drug: Lenalidomide|,2019-08-28,2024-08-23,PHASE3,INTERVENTIONAL,ALL,18 Years,75 Years
NCT04267848,"Testing the Addition of a Type of Drug Called Immunotherapy to the Usual Chemotherapy Treatment for Non-Small Cell Lung Cancer, ALCHEMIST Trial",Integration of Immunotherapy Into Adjuvant Therapy for Resected NSCLC: ALCHEMIST Chemo-IO (ACCIO),RECRUITING,Lung Non-Small Cell Carcinoma|Lung Non-Small Cell Squamous Carcinoma|Lung Non-Squamous Non-Small Cell Carcinoma|Stage II Lung Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2020-02-13,2024-09-27,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT05641857,Lumbar Spine on MRI and Low Back Pain in Elite Cross-country Skiers,Lumbar Spine on MRI and Low Back Pain in Elite Cross-country Skiers,COMPLETED,Disc Degeneration,|,2022-12-08,2023-11-02,,OBSERVATIONAL,ALL,16 Years,35 Years
NCT05879926,"Evaluating the Addition of Adjuvant Chemotherapy to Ovarian Function Suppression Plus Endocrine Therapy in Premenopausal Patients With pN0-1, ER-Positive/HER2-Negative Breast Cancer and an Oncotype Recurrence Score Less Than or Equal to 25","A Phase III Adjuvant Trial Evaluating the Addition of Adjuvant Chemotherapy to Ovarian Function Suppression Plus Endocrine Therapy in Premenopausal Patients With pN0-1, ER-Positive/HER2-Negative Breast Cancer and an Oncotype Recurrence Score Less Than or Equal to 25 (OFSET)",RECRUITING,Breast Cancer,Drug: Ovarian Function Suppression + Aromatase Inhibitor|Drug: Ovarian Function Suppression + Aromatase Inhibitor,2023-05-30,2024-09-04,PHASE3,INTERVENTIONAL,FEMALE,18 Years,60 Years
NCT01751126,Double-Masked Trial of NOVA22007 (1mg/mL Ciclosporin/Cyclosporine) Versus Vehicle in Pediatric Patients With Active Severe Vernal Keratoconjunctivitis,"A Multicenter, Randomized, Double-Masked, 3 Parallel Arms, Placebo Controlled Study to Assess the Efficacy and Safety of NOVA22007 1mg/mL (Ciclosporin/Cyclosporine) Eye Drops, Emulsion Administered in Paediatric Patients With Active Severe Vernal Keratoconjunctivitis With Severe Keratitis",COMPLETED,Vernal Keratoconjunctivitis,Drug: NOVA22007 ''Ciclosporin''|Drug: NOVA22007 ''Ciclosporin''|Drug: Placebo,2012-12-17,2022-03-28,PHASE3,INTERVENTIONAL,ALL,4 Years,18 Years
NCT03660826,"Testing the Combination of Olaparib and Durvalumab, Cediranib and Durvalumab, Olaparib and Capivasertib, and Cediranib Alone in Recurrent or Refractory Endometrial Cancer Following the Earlier Phase of the Study That Tested Olaparib and Cediranib in Comparison to Cediranib Alone, and Olaparib Alone","A Randomized Phase II Study Comparing Single-Agent Olaparib, Single Agent Cediranib, and the Combinations of Cediranib/Olaparib, Olaparib/Durvalumab (MEDI4736), Cediranib/Durvalumab (MEDI4736), Olaparib/AZD5363 (Capivasertib) in Women With Recurrent, Persistent or Metastatic Endometrial Cancer.: A Platform Trial for Women With Recurrent or Persistent Endometrial Cancer",ACTIVE_NOT_RECRUITING,Endometrial Adenocarcinoma|Endometrial Mixed Cell Adenocarcinoma|Endometrial Serous Adenocarcinoma|Endometrial Undifferentiated Carcinoma|Endometrioid Adenocarcinoma|Stage IV Uterine Corpus Cancer AJCC v8,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2018-09-07,2024-09-26,PHASE2,INTERVENTIONAL,FEMALE,18 Years,
NCT01190930,Risk-Adapted Chemotherapy in Treating Younger Patients With Newly Diagnosed Standard-Risk Acute Lymphoblastic Leukemia or Localized B-Lineage Lymphoblastic Lymphoma,Treatment of Patients With Newly Diagnosed Standard Risk B-Lymphoblastic Leukemia (B-ALL) or Localized B-Lineage Lymphoblastic Lymphoma (B-LLy),ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia|Adult B Lymphoblastic Lymphoma|Ann Arbor Stage I B Lymphoblastic Lymphoma|Ann Arbor Stage II B Lymphoblastic Lymphoma|Childhood B Acute Lymphoblastic Leukemia|Childhood B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1|Childhood B Lymphoblastic Lymphoma|Down Syndrome|Hypodiploid B Acute Lymphoblastic Leukemia|Philadelphia Chromosome Positive,Drug: Dexamethasone|Drug: Dexamethasone|Drug: Cyclophosphamide|Drug: Dexamethasone|Drug: Dexamethasone|Drug: Cyclophosphamide|Drug: Dexamethasone|Drug: Cyclophosphamide,2010-08-30,2024-02-08,PHASE3,INTERVENTIONAL,ALL,1 Year,30 Years
NCT03588130,A Study to Evaluate the Safety and the Efficacy of EscharEx (EX-02 Formulation) in Debridement of Venous Leg Ulcers,"A Multicenter , Prospective, Randomized, Placebo Controlled, Adaptive Design Study Performed to Evaluate the Safety and the Efficacy of EscharEx (EX-02 Formulation) in Debridement of Venous Leg Ulcers",COMPLETED,Venous Leg Ulcer,Drug: EscharEx (5% EX-02 formulation)|Drug: Gel Vehicle|Drug: Non-surgical standard of care (NSSOC),2018-07-17,2022-11-14,PHASE2,INTERVENTIONAL,ALL,18 Years,90 Years
NCT00206830,SHORTness of Breath In the Emergency Department (SHORTIE),SHORTness of Breath In the Emergency Department (SHORTIE),COMPLETED,Acute Myocardial Infarction|Heart Failure|Pulmonary Embolism,|Device: Triage Profiler S.O.B. Panel,2005-09-21,2015-07-27,PHASE2|PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT03793166,"Immunotherapy With Nivolumab and Ipilimumab Followed by Nivolumab or Nivolumab With Cabozantinib for Patients With Advanced Kidney Cancer, The PDIGREE Study",PD-Inhibitor (Nivolumab) and Ipilimumab Followed by Nivolumab Vs. VEGF TKI Cabozantinib With Nivolumab: A Phase III Trial in Metastatic Untreated REnal Cell CancEr [PDIGREE],ACTIVE_NOT_RECRUITING,Clear Cell Renal Cell Carcinoma|Metastatic Malignant Neoplasm in the Bone|Metastatic Malignant Neoplasm in the Lymph Nodes|Metastatic Malignant Neoplasm in the Soft Tissues|Metastatic Malignant Neoplasm in the Viscera|Sarcomatoid Renal Cell Carcinoma|Stage III Renal Cell Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2019-01-04,2024-09-26,PHASE3,INTERVENTIONAL,ALL,18 Years,
